Nekropole;Gravemounds;Inhumation;Incremation;Epoche;Excavated;Literature;Bronze;Ceramics;Amber;Gold;Glass;Iron;Stone;Coral;X;Y
Schelmenhostadt;8;y;y;both;8;Schaeffer 1926;43;8;9;;1;1;1;;3419141.76;5416936.27
Heuschier;6;;;BA;1;Schaeffer 1926;;;;;;;;;3417716.73;5415906.74
Wolfswinkel;33;y;y;both;12;Schaeffer 1930;13;9;;;;;;;3421494.83;5415052.16
Deilsberg;14;;y;BA;5;Schaeffer 1926;12;3;3;1;2;;;;3423415.11;5413752.70
Taubenhuebel;12;y;y;both;7;Schaeffer 1930;29;9;1;;;;;;3419883.67;5414973.12
Eichlach;16;y;y;BA;9;Schaeffer 1926;7;9;;;;;1;;3419138.53;5413198.25
Fischereck;7;y;y;both;7;Schaeffer 1930;14;4;;;;;2;;3416267.22;5413552.60
Hatternstangen;18;;y;BA;9;Schaeffer 1926;4;11;;;;;;;3417327.14;5412854.06
Dachhuebel-Birklach;20;y;y;BA;7;Schaeffer 1926;23;13;4;;;;;;3412430.59;5412258.31
Beckenmatt;31;y;;BA;26;Schaeffer 1926;15;24;;;;;;;3419639.96;5411491.90
Weisensee-Oberfeld;63;y;y;both;38;Schaeffer 1930;88;62;8;1;;5;;;3422260.73;5411071.74
Erzlach;5;;;BA;5;Schaeffer 1926;3;;;;;;;;3423314.13;5411594.71
Donauberg;14;y;y;both;14;Schaeffer 1930;68;24;;;1;2;;;3424721.88;5411495.24
Koenigsberg;23;y;y;both;20;Schaeffer 1930;257;50;7;3;11;30;6;2;3425604.32;5412984.77
Fischerhuebel-Kurzgelaend;98;y;y;both;89;Schaeffer 1930;304;90;20;2;8;19;13;3;3422962.47;5409879.09
Schirrheinerweg;17;y;y;both;13;Schaeffer 1930;62;11;;2;1;3;4;1;3421627.84;5408830.67
Kirchlach;120;y;y;both;100;Schaeffer 1930;134;173;12;;3;13;4;;3419741.04;5408021.19
Gries;5;;;both;2;Schaeffer 1930;7;18;;;;;;;3412956.86;5404535.93
Weitbruch;15;y;y;BA;7;Schaeffer 1930;53;11;;2;;5;;;3411268.12;5404404.89
Harthouse;15;y;y;both;9;Schaeffer 1930;118;19;;;2;10;16;1;3406774.21;5406405.74
Maegstub;31;;;both;13;Schaeffer 1930;309;23;10;3;10;31;9;1;3406705.10;5411436.54
Oberstritten;1;;;BA;1;Schaeffer 1926;8;1;;;;;;;3412350.86;5418083.11
Ohlungen;3;;y;IA;3;Schaeffer 1930;101;;12;4;16;3;12;3;3405412.50;5410741.52
Uhlwiller;15;;y;IA;14;Schaeffer 1930;49;1;1;;3;9;1;;3404224.45;5411166.49
